"","observation_date","common_name","observation_count"
"167",2022-05-02,"Chipping Sparrow",10
"168",2022-05-02,"Cliff Swallow",380
"169",2022-05-02,"Common Grackle",74
"170",2022-05-02,"Common Yellowthroat",45
"171",2022-05-02,"Cooper's Hawk",5
"172",2022-05-02,"Double-crested Cormorant",26
"173",2022-05-02,"Downy Woodpecker",NA
"174",2022-05-02,"Eastern Bluebird",41
"175",2022-05-02,"Eastern Kingbird",45
"176",2022-05-02,"Eastern Meadowlark",37
"177",2022-05-02,"Eastern Phoebe",12
"178",2022-05-02,"Eastern Towhee",NA
"179",2022-05-02,"Eastern Wood-Pewee",22
"180",2022-05-02,"European Starling",73
"181",2022-05-02,"Field Sparrow",NA
"182",2022-05-02,"Grasshopper Sparrow",3
"183",2022-05-02,"Gray Catbird",NA
"184",2022-05-02,"Great Blue Heron",21
"185",2022-05-02,"Great Crested Flycatcher",15
"186",2022-05-02,"Green Heron",3
"187",2022-05-02,"Hairy Woodpecker",3
"188",2022-05-02,"Hooded Warbler",7
"189",2022-05-02,"House Finch",117
"190",2022-05-02,"House Sparrow",5
"191",2022-05-02,"House Wren",7
"192",2022-05-02,"Indigo Bunting",NA
"193",2022-05-02,"Killdeer",7
"194",2022-05-02,"Louisiana Waterthrush",1
"195",2022-05-02,"Magnolia Warbler",13
"196",2022-05-02,"Mallard",NA
"197",2022-05-02,"Mississippi Kite",3
"198",2022-05-02,"Mourning Dove",NA
"199",2022-05-02,"Nashville Warbler",4
"200",2022-05-02,"Northern Bobwhite",2
"201",2022-05-02,"Northern Cardinal",NA
"202",2022-05-02,"Northern Flicker",8
"203",2022-05-02,"Northern Mockingbird",76
"204",2022-05-02,"Northern Parula",22
"205",2022-05-02,"Northern Rough-winged Swallow",39
"206",2022-05-02,"Northern Waterthrush",2
"207",2022-05-02,"Orchard Oriole",32
"208",2022-05-02,"Osprey",13
"209",2022-05-02,"Ovenbird",1
"210",2022-05-02,"Palm Warbler",NA
"211",2022-05-02,"Philadelphia Vireo",2
"212",2022-05-02,"Pileated Woodpecker",3
"213",2022-05-02,"Pine Warbler",22
"214",2022-05-02,"Prairie Warbler",4
"215",2022-05-02,"Prothonotary Warbler",9
"216",2022-05-02,"Purple Martin",34
"217",2022-05-02,"Red-bellied Woodpecker",NA
"218",2022-05-02,"Red-eyed Vireo",71
"219",2022-05-02,"Red-headed Woodpecker",1
"220",2022-05-02,"Red-shouldered Hawk",2
"221",2022-05-02,"Red-tailed Hawk",11
"222",2022-05-02,"Red-winged Blackbird",183
"223",2022-05-02,"Rock Pigeon",15
"224",2022-05-02,"Rose-breasted Grosbeak",NA
"225",2022-05-02,"Ruby-crowned Kinglet",2
"226",2022-05-02,"Ruby-throated Hummingbird",11
"227",2022-05-02,"Savannah Sparrow",16
"228",2022-05-02,"Scarlet Tanager",NA
"229",2022-05-02,"Solitary Sandpiper",9
"230",2022-05-02,"Song Sparrow",49
"231",2022-05-02,"Spotted Sandpiper",18
"232",2022-05-02,"Summer Tanager",23
"233",2022-05-02,"Swainson's Thrush",NA
"234",2022-05-02,"Swainson's Warbler",1
"235",2022-05-02,"Swamp Sparrow",1
"236",2022-05-02,"Tennessee Warbler",22
"237",2022-05-02,"Tree Swallow",78
"238",2022-05-02,"Tufted Titmouse",NA
"239",2022-05-02,"Turkey Vulture",NA
"240",2022-05-02,"Veery",2
"241",2022-05-02,"Warbling Vireo",4
"242",2022-05-02,"White-breasted Nuthatch",11
"243",2022-05-02,"White-crowned Sparrow",16
"244",2022-05-02,"White-eyed Vireo",18
"245",2022-05-02,"White-throated Sparrow",3
"246",2022-05-02,"Wild Turkey",2
"247",2022-05-02,"Willow Flycatcher",1
"248",2022-05-02,"Wood Duck",12
"249",2022-05-02,"Wood Thrush",NA
"250",2022-05-02,"Worm-eating Warbler",3
"251",2022-05-02,"Yellow Warbler",5
"252",2022-05-02,"Yellow-billed Cuckoo",15
"253",2022-05-02,"Yellow-breasted Chat",52
"254",2022-05-02,"Yellow-rumped Warbler",NA
"255",2022-05-02,"Yellow-throated Vireo",8
"256",2022-05-03,"American Crow",42
"257",2022-05-03,"American Goldfinch",35
"258",2022-05-03,"American Kestrel",1
"259",2022-05-03,"American Redstart",7
"260",2022-05-03,"American Robin",108
"261",2022-05-03,"Bald Eagle",1
"262",2022-05-03,"Baltimore Oriole",3
"263",2022-05-03,"Barn Swallow",34
"264",2022-05-03,"Bay-breasted Warbler",4
"265",2022-05-03,"Belted Kingfisher",1
"266",2022-05-03,"Black Vulture",5
"267",2022-05-03,"Black-and-white Warbler",3
"268",2022-05-03,"Black-throated Green Warbler",5
"269",2022-05-03,"Blackburnian Warbler",1
"270",2022-05-03,"Blackpoll Warbler",2
"271",2022-05-03,"Blue Grosbeak",7
"272",2022-05-03,"Blue Jay",50
"273",2022-05-03,"Blue-gray Gnatcatcher",16
"274",2022-05-03,"Blue-headed Vireo",1
"275",2022-05-03,"Bobolink",1
"276",2022-05-03,"Broad-winged Hawk",1
"277",2022-05-03,"Brown Thrasher",19
"278",2022-05-03,"Brown-headed Cowbird",22
"279",2022-05-03,"Canada Goose",NA
"280",2022-05-03,"Cape May Warbler",11
"281",2022-05-03,"Carolina Chickadee",61
"282",2022-05-03,"Carolina Wren",61
"283",2022-05-03,"Cedar Waxwing",61
"284",2022-05-03,"Chestnut-sided Warbler",2
"285",2022-05-03,"Chimney Swift",17
"286",2022-05-03,"Chipping Sparrow",5
"287",2022-05-03,"Cliff Swallow",44
"288",2022-05-03,"Common Grackle",40
"289",2022-05-03,"Common Nighthawk",1
"290",2022-05-03,"Common Yellowthroat",23
"291",2022-05-03,"Cooper's Hawk",4
"292",2022-05-03,"Double-crested Cormorant",14
"293",2022-05-03,"Downy Woodpecker",19
"294",2022-05-03,"Eastern Bluebird",NA
"295",2022-05-03,"Eastern Kingbird",27
"296",2022-05-03,"Eastern Meadowlark",31
"297",2022-05-03,"Eastern Phoebe",9
"298",2022-05-03,"Eastern Towhee",50
"299",2022-05-03,"Eastern Wood-Pewee",6
"300",2022-05-03,"European Starling",45
"301",2022-05-03,"Field Sparrow",35
"302",2022-05-03,"Fish Crow",5
"303",2022-05-03,"Gray Catbird",7
"304",2022-05-03,"Great Blue Heron",12
"305",2022-05-03,"Great Crested Flycatcher",6
"306",2022-05-03,"Green Heron",1
"307",2022-05-03,"Hairy Woodpecker",4
"308",2022-05-03,"Hooded Warbler",2
"309",2022-05-03,"House Finch",52
"310",2022-05-03,"House Sparrow",15
"311",2022-05-03,"House Wren",6
"312",2022-05-03,"Indigo Bunting",26
"313",2022-05-03,"Kentucky Warbler",1
"314",2022-05-03,"Killdeer",2
"315",2022-05-03,"Louisiana Waterthrush",1
"316",2022-05-03,"Magnolia Warbler",4
"317",2022-05-03,"Mallard",12
"318",2022-05-03,"Mourning Dove",58
"319",2022-05-03,"Muscovy Duck",22
"320",2022-05-03,"Northern Cardinal",116
"321",2022-05-03,"Northern Flicker",4
"322",2022-05-03,"Northern Mockingbird",39
"323",2022-05-03,"Northern Parula",9
"324",2022-05-03,"Northern Rough-winged Swallow",35
"325",2022-05-03,"Northern Waterthrush",2
"326",2022-05-03,"Orchard Oriole",5
"327",2022-05-03,"Osprey",6
"328",2022-05-03,"Pileated Woodpecker",2
"329",2022-05-03,"Pine Warbler",3
"330",2022-05-03,"Prothonotary Warbler",3
"331",2022-05-03,"Purple Finch",1
"332",2022-05-03,"Purple Martin",7
"333",2022-05-03,"Red-bellied Woodpecker",24
"334",2022-05-03,"Red-eyed Vireo",19
"335",2022-05-03,"Red-shouldered Hawk",3
"336",2022-05-03,"Red-tailed Hawk",13
"337",2022-05-03,"Red-winged Blackbird",121
"338",2022-05-03,"Rock Pigeon",7
"339",2022-05-03,"Rose-breasted Grosbeak",7
"340",2022-05-03,"Ruby-crowned Kinglet",2
"341",2022-05-03,"Ruby-throated Hummingbird",5
"342",2022-05-03,"Scarlet Tanager",7
"343",2022-05-03,"Solitary Sandpiper",2
"344",2022-05-03,"Song Sparrow",28
"345",2022-05-03,"Summer Tanager",4
"346",2022-05-03,"Swainson's Thrush",13
"347",2022-05-03,"Tennessee Warbler",NA
"348",2022-05-03,"Tree Swallow",54
"349",2022-05-03,"Tufted Titmouse",42
"350",2022-05-03,"Turkey Vulture",4
"351",2022-05-03,"Veery",4
"352",2022-05-03,"Warbling Vireo",3
"353",2022-05-03,"White-breasted Nuthatch",8
"354",2022-05-03,"White-eyed Vireo",8
"355",2022-05-03,"White-throated Sparrow",5
"356",2022-05-03,"Wild Turkey",3
"357",2022-05-03,"Willow Flycatcher",3
"358",2022-05-03,"Wood Duck",2
"359",2022-05-03,"Wood Thrush",10
"360",2022-05-03,"Worm-eating Warbler",1
"361",2022-05-03,"Yellow Warbler",2
"362",2022-05-03,"Yellow-billed Cuckoo",2
"363",2022-05-03,"Yellow-breasted Chat",10
"364",2022-05-03,"Yellow-rumped Warbler",19
"365",2022-05-04,"American Crow",35
"366",2022-05-04,"American Goldfinch",30
"367",2022-05-04,"American Kestrel",2
"368",2022-05-04,"American Redstart",34
"369",2022-05-04,"American Robin",NA
"370",2022-05-04,"Bald Eagle",2
"371",2022-05-04,"Baltimore Oriole",4
"372",2022-05-04,"Barn Swallow",41
"373",2022-05-04,"Barred Owl",1
"374",2022-05-04,"Bay-breasted Warbler",15
"375",2022-05-04,"Belted Kingfisher",4
"376",2022-05-04,"Black Vulture",3
"377",2022-05-04,"Black-and-white Warbler",9
"378",2022-05-04,"Black-throated Green Warbler",16
"379",2022-05-04,"Blackburnian Warbler",6
"380",2022-05-04,"Blackpoll Warbler",14
"381",2022-05-04,"Blue Grosbeak",11
"382",2022-05-04,"Blue Jay",NA
"383",2022-05-04,"Blue-gray Gnatcatcher",27
"384",2022-05-04,"Bobolink",8
"385",2022-05-04,"Broad-winged Hawk",3
"386",2022-05-04,"Brown Thrasher",48
"387",2022-05-04,"Brown-headed Cowbird",35
"388",2022-05-04,"Brown-headed Nuthatch",1
"389",2022-05-04,"Canada Goose",NA
"390",2022-05-04,"Cape May Warbler",33
"391",2022-05-04,"Carolina Chickadee",NA
"392",2022-05-04,"Carolina Wren",75
"393",2022-05-04,"Cedar Waxwing",83
"394",2022-05-04,"Chestnut-sided Warbler",3
"395",2022-05-04,"Chimney Swift",25
"396",2022-05-04,"Chipping Sparrow",5
"397",2022-05-04,"Cliff Swallow",27
"398",2022-05-04,"Common Grackle",51
"399",2022-05-04,"Common Yellowthroat",13
"400",2022-05-04,"Cooper's Hawk",4
"401",2022-05-04,"Double-crested Cormorant",17
"402",2022-05-04,"Downy Woodpecker",38
"403",2022-05-04,"Eastern Bluebird",39
"404",2022-05-04,"Eastern Kingbird",13
"405",2022-05-04,"Eastern Meadowlark",13
"406",2022-05-04,"Eastern Phoebe",12
"407",2022-05-04,"Eastern Screech-Owl",1
"408",2022-05-04,"Eastern Towhee",NA
"409",2022-05-04,"Eastern Wood-Pewee",19
"410",2022-05-04,"European Starling",NA
"411",2022-05-04,"Field Sparrow",NA
"412",2022-05-04,"Fish Crow",5
"413",2022-05-04,"Grasshopper Sparrow",3
"414",2022-05-04,"Gray Catbird",25
"415",2022-05-04,"Gray-cheeked Thrush",1
"416",2022-05-04,"Great Blue Heron",7
"417",2022-05-04,"Great Crested Flycatcher",15
"418",2022-05-04,"Great Horned Owl",1
"419",2022-05-04,"Green Heron",3
"420",2022-05-04,"Hairy Woodpecker",1
"421",2022-05-04,"Hooded Warbler",8
"422",2022-05-04,"House Finch",NA
"423",2022-05-04,"House Sparrow",6
"424",2022-05-04,"House Wren",5
"425",2022-05-04,"Indigo Bunting",21
"426",2022-05-04,"Killdeer",5
"427",2022-05-04,"Least Flycatcher",1
"428",2022-05-04,"Magnolia Warbler",17
"429",2022-05-04,"Mallard",6
"430",2022-05-04,"Mourning Dove",98
"431",2022-05-04,"Muscovy Duck",25
"432",2022-05-04,"Nashville Warbler",4
"433",2022-05-04,"Northern Bobwhite",3
"434",2022-05-04,"Northern Cardinal",NA
"435",2022-05-04,"Northern Flicker",4
"436",2022-05-04,"Northern Mockingbird",64
"437",2022-05-04,"Northern Parula",17
"438",2022-05-04,"Northern Rough-winged Swallow",24
"439",2022-05-04,"Orchard Oriole",11
"440",2022-05-04,"Osprey",14
"441",2022-05-04,"Palm Warbler",1
"442",2022-05-04,"Pileated Woodpecker",2
"443",2022-05-04,"Pine Warbler",21
"444",2022-05-04,"Prairie Warbler",6
"445",2022-05-04,"Prothonotary Warbler",2
"446",2022-05-04,"Purple Martin",6
"447",2022-05-04,"Red-bellied Woodpecker",48
"448",2022-05-04,"Red-breasted Nuthatch",1
"449",2022-05-04,"Red-eyed Vireo",54
"450",2022-05-04,"Red-shouldered Hawk",6
"451",2022-05-04,"Red-tailed Hawk",9
"452",2022-05-04,"Red-winged Blackbird",NA
"453",2022-05-04,"Rock Pigeon",3
"454",2022-05-04,"Rose-breasted Grosbeak",19
"455",2022-05-04,"Ruby-throated Hummingbird",8
"456",2022-05-04,"Savannah Sparrow",6
"457",2022-05-04,"Scarlet Tanager",20
"458",2022-05-04,"Solitary Sandpiper",1
"459",2022-05-04,"Song Sparrow",35
"460",2022-05-04,"Spotted Sandpiper",2
"461",2022-05-04,"Summer Tanager",7
"462",2022-05-04,"Swainson's Thrush",31
"463",2022-05-04,"Tennessee Warbler",27
"464",2022-05-04,"Tree Swallow",NA
"465",2022-05-04,"Tufted Titmouse",NA
"466",2022-05-04,"Turkey Vulture",20
"467",2022-05-04,"Veery",1
"468",2022-05-04,"Vesper Sparrow",1
"469",2022-05-04,"Warbling Vireo",4
"470",2022-05-04,"White-breasted Nuthatch",18
"471",2022-05-04,"White-crowned Sparrow",4
"472",2022-05-04,"White-eyed Vireo",15
"473",2022-05-04,"White-throated Sparrow",2
"474",2022-05-04,"Wild Turkey",2
"475",2022-05-04,"Willow Flycatcher",4
"476",2022-05-04,"Wood Duck",4
"477",2022-05-04,"Wood Thrush",15
"478",2022-05-04,"Worm-eating Warbler",1
"479",2022-05-04,"Yellow Warbler",5
"480",2022-05-04,"Yellow-billed Cuckoo",4
"481",2022-05-04,"Yellow-breasted Chat",9
"482",2022-05-04,"Yellow-rumped Warbler",29
"483",2022-05-04,"Yellow-throated Vireo",3
"484",2022-05-05,"Acadian Flycatcher",5
"485",2022-05-05,"American Crow",45
"486",2022-05-05,"American Goldfinch",32
"487",2022-05-05,"American Redstart",45
"488",2022-05-05,"American Robin",161
"489",2022-05-05,"Bald Eagle",1
"490",2022-05-05,"Baltimore Oriole",NA
"491",2022-05-05,"Bank Swallow",1
"492",2022-05-05,"Barn Swallow",37
"493",2022-05-05,"Bay-breasted Warbler",13
"494",2022-05-05,"Belted Kingfisher",4
"495",2022-05-05,"Black Vulture",19
"496",2022-05-05,"Black-and-white Warbler",20
"497",2022-05-05,"Black-throated Blue Warbler",5
"498",2022-05-05,"Black-throated Green Warbler",13
"499",2022-05-05,"Blackburnian Warbler",9
"500",2022-05-05,"Blackpoll Warbler",19
"501",2022-05-05,"Blue Grosbeak",6
"502",2022-05-05,"Blue Jay",75
"503",2022-05-05,"Blue-gray Gnatcatcher",33
"504",2022-05-05,"Blue-headed Vireo",5
"505",2022-05-05,"Bobolink",35
"506",2022-05-05,"Broad-winged Hawk",3
"507",2022-05-05,"Brown Thrasher",27
"508",2022-05-05,"Brown-headed Cowbird",38
"509",2022-05-05,"Brown-headed Nuthatch",2
"510",2022-05-05,"Canada Goose",108
"511",2022-05-05,"Canada Warbler",1
"512",2022-05-05,"Cape May Warbler",40
"513",2022-05-05,"Carolina Chickadee",104
"514",2022-05-05,"Carolina Wren",87
"515",2022-05-05,"Cedar Waxwing",NA
"516",2022-05-05,"Cerulean Warbler",1
"517",2022-05-05,"Chestnut-sided Warbler",14
"518",2022-05-05,"Chimney Swift",52
"519",2022-05-05,"Chipping Sparrow",9
"520",2022-05-05,"Chuck-will's-widow",1
"521",2022-05-05,"Cliff Swallow",190
"522",2022-05-05,"Common Grackle",52
"523",2022-05-05,"Common Nighthawk",3
"524",2022-05-05,"Common Yellowthroat",26
"525",2022-05-05,"Cooper's Hawk",2
"526",2022-05-05,"Double-crested Cormorant",47
"527",2022-05-05,"Downy Woodpecker",34
"528",2022-05-05,"Eastern Bluebird",29
"529",2022-05-05,"Eastern Kingbird",25
"530",2022-05-05,"Eastern Meadowlark",13
"531",2022-05-05,"Eastern Phoebe",NA
"532",2022-05-05,"Eastern Screech-Owl",2
"533",2022-05-05,"Eastern Towhee",74
"534",2022-05-05,"Eastern Wood-Pewee",16
"535",2022-05-05,"European Starling",70
"536",2022-05-05,"Field Sparrow",NA
"537",2022-05-05,"Fish Crow",1
"538",2022-05-05,"Gray Catbird",NA
"539",2022-05-05,"Great Blue Heron",17
"540",2022-05-05,"Great Crested Flycatcher",20
"541",2022-05-05,"Green Heron",7
"542",2022-05-05,"Hairy Woodpecker",7
"543",2022-05-05,"Hooded Warbler",12
"544",2022-05-05,"House Finch",85
"545",2022-05-05,"House Sparrow",1
"546",2022-05-05,"House Wren",6
"547",2022-05-05,"Indigo Bunting",34
"548",2022-05-05,"Kentucky Warbler",1
"549",2022-05-05,"Killdeer",9
"550",2022-05-05,"Louisiana Waterthrush",2
"551",2022-05-05,"Magnolia Warbler",22
"552",2022-05-05,"Mallard",22
"553",2022-05-05,"Mourning Dove",NA
"554",2022-05-05,"Nashville Warbler",3
"555",2022-05-05,"Northern Bobwhite",3
"556",2022-05-05,"Northern Cardinal",NA
"557",2022-05-05,"Northern Flicker",7
"558",2022-05-05,"Northern Mockingbird",50
"559",2022-05-05,"Northern Parula",21
"560",2022-05-05,"Northern Rough-winged Swallow",19
"561",2022-05-05,"Northern Waterthrush",5
"562",2022-05-05,"Orchard Oriole",8
"563",2022-05-05,"Osprey",16
"564",2022-05-05,"Ovenbird",1
"565",2022-05-05,"Palm Warbler",3
"566",2022-05-05,"Pileated Woodpecker",7
"567",2022-05-05,"Pine Warbler",16
"568",2022-05-05,"Prairie Warbler",8
"569",2022-05-05,"Prothonotary Warbler",7
"570",2022-05-05,"Purple Martin",11
"571",2022-05-05,"Red-bellied Woodpecker",NA
"572",2022-05-05,"Red-eyed Vireo",69
"573",2022-05-05,"Red-shouldered Hawk",7
"574",2022-05-05,"Red-tailed Hawk",2
"575",2022-05-05,"Red-winged Blackbird",NA
"576",2022-05-05,"Rock Pigeon",8
"577",2022-05-05,"Rose-breasted Grosbeak",12
"578",2022-05-05,"Ruby-crowned Kinglet",5
"579",2022-05-05,"Ruby-throated Hummingbird",14
"580",2022-05-05,"Savannah Sparrow",2
"581",2022-05-05,"Scarlet Tanager",24
"582",2022-05-05,"Solitary Sandpiper",4
"583",2022-05-05,"Song Sparrow",39
"584",2022-05-05,"Spotted Sandpiper",3
"585",2022-05-05,"Summer Tanager",18
"586",2022-05-05,"Swainson's Thrush",38
"587",2022-05-05,"Swamp Sparrow",2
"588",2022-05-05,"Tennessee Warbler",16
"589",2022-05-05,"Tree Swallow",53
"590",2022-05-05,"Tufted Titmouse",81
"591",2022-05-05,"Turkey Vulture",10
"592",2022-05-05,"Warbling Vireo",1
"593",2022-05-05,"White-breasted Nuthatch",24
"594",2022-05-05,"White-crowned Sparrow",5
"595",2022-05-05,"White-eyed Vireo",14
"596",2022-05-05,"White-throated Sparrow",2
"597",2022-05-05,"Wild Turkey",1
"598",2022-05-05,"Willow Flycatcher",2
"599",2022-05-05,"Wilson's Warbler",1
"600",2022-05-05,"Wood Duck",8
"601",2022-05-05,"Wood Thrush",19
"602",2022-05-05,"Worm-eating Warbler",2
"603",2022-05-05,"Yellow Warbler",3
"604",2022-05-05,"Yellow-billed Cuckoo",5
"605",2022-05-05,"Yellow-breasted Chat",15
"606",2022-05-05,"Yellow-rumped Warbler",26
"607",2022-05-05,"Yellow-throated Vireo",3
"608",2022-05-05,"Yellow-throated Warbler",1
"609",2022-05-06,"Acadian Flycatcher",1
"610",2022-05-06,"American Crow",25
"611",2022-05-06,"American Goldfinch",14
"612",2022-05-06,"American Redstart",11
"613",2022-05-06,"American Robin",74
"614",2022-05-06,"Barn Swallow",87
"615",2022-05-06,"Bay-breasted Warbler",3
"616",2022-05-06,"Belted Kingfisher",1
"617",2022-05-06,"Black Vulture",8
